Date,Price_Close,Price_High,Price_Low,Price_Open,Circulating_Marketcap,Marketcap_Dominance,Volatility,Circulating_Supply
2021-06-23,33683.42842330969,34874.93910077681,31713.47604536601,32488.858263946633,610046605864.9718,47.283467282843446,0.9310545972796872,18747846.81425206
2021-06-22,32530.813769029355,33346.38842988349,28841.284012122956,31685.110865307728,593685052053.0792,46.236658051432784,1.01489580071989,18747215.41901367
2021-06-21,31623.937442037986,35763.84586116928,31245.14398353232,35604.00294223903,667960564538.5399,44.63479411525111,1.0154079707594874,18746646.58178393
2021-06-20,35596.77103679014,36134.28092715117,33343.994476319254,35550.719616700364,665619423553.1346,45.00351858568933,0.9672300815178148,18745990.23983623
2021-06-19,35497.9337522889,36464.82255351466,34765.23611411044,35701.93095835863,671849325346.2229,44.626642263939296,1.0095659675561937,18745333.93060009
2021-06-18,35779.21793898078,38207.66044622433,35050.40847721827,38031.89534515107,714139981244.5037,44.7685166312518,1.06231595607677,18744690.05862639
2021-06-17,38089.85951422869,39557.79064310538,37362.458961126584,38340.040866877156,718804855985.9321,45.22702678887331,1.1682134007072351,18743914.82553062
2021-06-16,38923.610512360334,40585.898999805446,38111.95508997453,40143.31357861727,752548671831.9778,45.22359496244673,1.1631363069989453,18743102.07525647
2021-06-15,40907.36237843977,42430.18234532531,39503.966172803026,40878.684478474235,759656607906.7339,44.92736768981807,1.1728384748665226,18742333.16905968
2021-06-14,40873.9818750922,41060.0636589121,38741.70402378865,39020.78743672261,732537021478.2985,44.854083506498874,1.1654915921730744,18741514.12109173
2021-06-13,39017.91565483727,39379.845468611595,34774.35117055676,35528.0674321506,665917202546.0479,43.88874341789615,1.1358191090590595,18740670.27938989
2021-06-12,35550.80929724488,37461.77851675462,34625.37716447647,37320.399298527416,699590312530.5552,45.06634234138597,1.116013692828059,18739845.20758936
2021-06-11,37333.37691896241,37687.874120694825,35957.38551968333,36689.356779585454,687483766307.2135,43.608030015906095,1.109553257240577,18739026.34435973
2021-06-10,36690.323114697174,38476.165662242085,35806.85203173848,37335.206175034604,699896157962.2153,42.87590576580199,1.1808840079412062,18738369.96139851
2021-06-09,37400.096168676726,37545.189544096116,32423.889230429733,33454.84241740969,625968163785.3284,41.13438595818979,1.153555769379456,18737632.33188062
2021-06-08,33407.06356977614,34075.511934960785,31012.356228666464,33567.021436506024,629013709483.3801,40.92039807048358,1.0957910991289412,18736844.69034587
